year,category,winner,entity
1931,CINEMATOGRAPHY,False,Dr. Jekyll and Mr. Hyde
1931,CINEMATOGRAPHY,True,Shanghai Express
1931,DIRECTING,True,Bad Girl
1931,DIRECTING,False,The Champ
1931,DIRECTING,False,Shanghai Express
1931,OUTSTANDING PRODUCTION,False,Arrowsmith
1931,OUTSTANDING PRODUCTION,False,Bad Girl
1931,OUTSTANDING PRODUCTION,False,The Champ
1931,OUTSTANDING PRODUCTION,False,Five Star Final
1931,OUTSTANDING PRODUCTION,True,Grand Hotel
1931,OUTSTANDING PRODUCTION,False,One Hour with You
1931,OUTSTANDING PRODUCTION,False,Shanghai Express
1931,OUTSTANDING PRODUCTION,False,The Smiling Lieutenant
1931,SHORT SUBJECT (Cartoon),True,Flowers and Trees
1931,SHORT SUBJECT (Cartoon),False,It's Got Me Again
1931,SHORT SUBJECT (Cartoon),False,Mickey's Orphans
1931,SOUND RECORDING,False,Metro-Goldwyn-Mayer Studio Sound Department
1931,SOUND RECORDING,True,Paramount Publix Studio Sound Department
1931,SOUND RECORDING,False,RKO Radio Studio Sound Department
1931,SOUND RECORDING,False,Warner Bros.-First National Studio Sound Department
1931,WRITING (Adaptation),False,Arrowsmith
1931,WRITING (Adaptation),True,Bad Girl
1931,WRITING (Adaptation),False,Dr. Jekyll and Mr. Hyde
1932,ART DIRECTION,True,Cavalcade
1932,ART DIRECTION,False,A Farewell to Arms
1932,ART DIRECTION,False,When Ladies Meet
1932,CINEMATOGRAPHY,True,A Farewell to Arms
1932,CINEMATOGRAPHY,False,Reunion in Vienna
1932,CINEMATOGRAPHY,False,The Sign of the Cross
1932,DIRECTING,True,Cavalcade
1932,DIRECTING,False,Lady for a Day
1932,DIRECTING,False,Little Women
1932,OUTSTANDING PRODUCTION,True,Cavalcade
1932,OUTSTANDING PRODUCTION,False,A Farewell to Arms
1932,OUTSTANDING PRODUCTION,False,42nd Street
1932,OUTSTANDING PRODUCTION,False,I Am a Fugitive from a Chain Gang
1932,OUTSTANDING PRODUCTION,False,Lady for a Day
1932,OUTSTANDING PRODUCTION,False,Little Women
1932,OUTSTANDING PRODUCTION,False,The Private Life of Henry VIII
1932,OUTSTANDING PRODUCTION,False,She Done Him Wrong
1932,OUTSTANDING PRODUCTION,False,Smilin' Through
1932,OUTSTANDING PRODUCTION,False,State Fair
1932,SHORT SUBJECT (Cartoon),False,Building a Building
1932,SHORT SUBJECT (Cartoon),False,The Merry Old Soul
1932,SHORT SUBJECT (Cartoon),True,The Three Little Pigs
1932,SOUND RECORDING,True,A Farewell to Arms
1932,SOUND RECORDING,False,42nd Street
1932,SOUND RECORDING,False,Gold Diggers of 1933
1932,SOUND RECORDING,False,I Am a Fugitive from a Chain Gang
1932,WRITING (Adaptation),False,Lady for a Day
1932,WRITING (Adaptation),True,Little Women
1932,WRITING (Adaptation),False,State Fair
1934,ART DIRECTION,False,The Affairs of Cellini
1934,ART DIRECTION,False,The Gay Divorcee
1934,ART DIRECTION,True,The Merry Widow
1934,CINEMATOGRAPHY,False,The Affairs of Cellini
1934,CINEMATOGRAPHY,True,Cleopatra
1934,CINEMATOGRAPHY,False,Operator 13
1934,DIRECTING,True,It Happened One Night
1934,DIRECTING,False,One Night of Love
1934,DIRECTING,False,The Thin Man
1934,FILM EDITING,False,Cleopatra
1934,FILM EDITING,True,Eskimo
1934,FILM EDITING,False,One Night of Love
1934,MUSIC (Scoring),False,The Gay Divorcee
1934,MUSIC (Scoring),False,The Lost Patrol
1934,MUSIC (Scoring),True,One Night of Love
1934,MUSIC (Song),False,Flying Down to Rio
1934,MUSIC (Song),True,The Gay Divorcee
1934,MUSIC (Song),False,She Loves Me Not
1934,OUTSTANDING PRODUCTION,False,The Barretts of Wimpole Street
1934,OUTSTANDING PRODUCTION,False,Cleopatra
1934,OUTSTANDING PRODUCTION,False,Flirtation Walk
1934,OUTSTANDING PRODUCTION,False,The Gay Divorcee
1934,OUTSTANDING PRODUCTION,False,Here Comes the Navy
1934,OUTSTANDING PRODUCTION,False,The House of Rothschild
1934,OUTSTANDING PRODUCTION,False,Imitation of Life
1934,OUTSTANDING PRODUCTION,True,It Happened One Night
1934,OUTSTANDING PRODUCTION,False,One Night of Love
1934,OUTSTANDING PRODUCTION,False,The Thin Man
1934,OUTSTANDING PRODUCTION,False,Viva Villa!
1934,OUTSTANDING PRODUCTION,False,The White Parade
1934,SHORT SUBJECT (Cartoon),False,Holiday Land
1934,SHORT SUBJECT (Cartoon),False,Jolly Little Elves
1934,SHORT SUBJECT (Cartoon),True,The Tortoise and the Hare
1934,SOUND RECORDING,False,The Affairs of Cellini
1934,SOUND RECORDING,False,Cleopatra
1934,SOUND RECORDING,False,Flirtation Walk
1934,SOUND RECORDING,False,The Gay Divorcee
1934,SOUND RECORDING,False,Imitation of Life
1934,SOUND RECORDING,True,One Night of Love
1934,SOUND RECORDING,False,Viva Villa!
1934,SOUND RECORDING,False,The White Parade
1934,WRITING (Adaptation),True,It Happened One Night
1934,WRITING (Adaptation),False,The Thin Man
1934,WRITING (Adaptation),False,Viva Villa!
1935,ART DIRECTION,True,The Dark Angel
1935,ART DIRECTION,False,The Lives of a Bengal Lancer
1935,CINEMATOGRAPHY,False,Barbary Coast
1935,CINEMATOGRAPHY,False,The Crusades
1935,CINEMATOGRAPHY,False,Les Miserables
1935,CINEMATOGRAPHY,True,A Midsummer Night's Dream
1935,DIRECTING,False,Captain Blood
1935,DIRECTING,True,The Informer
1935,DIRECTING,False,The Lives of a Bengal Lancer
1935,DIRECTING,False,Mutiny on the Bounty
1935,FILM EDITING,False,David Copperfield
1935,FILM EDITING,False,The Informer
1935,FILM EDITING,False,Les Miserables
1935,FILM EDITING,False,The Lives of a Bengal Lancer
1935,FILM EDITING,True,A Midsummer Night's Dream
1935,FILM EDITING,False,Mutiny on the Bounty
1935,MUSIC (Scoring),False,Captain Blood
1935,MUSIC (Scoring),True,The Informer
1935,MUSIC (Scoring),False,Mutiny on the Bounty
1935,MUSIC (Scoring),False,Peter Ibbetson
1935,MUSIC (Song),False,Roberta
1935,MUSIC (Song),True,Gold Diggers of 1935
1935,OUTSTANDING PRODUCTION,False,Alice Adams
1935,OUTSTANDING PRODUCTION,False,Broadway Melody of 1936
1935,OUTSTANDING PRODUCTION,False,Captain Blood
1935,OUTSTANDING PRODUCTION,False,David Copperfield
1935,OUTSTANDING PRODUCTION,False,The Informer
1935,OUTSTANDING PRODUCTION,False,Les Miserables
1935,OUTSTANDING PRODUCTION,False,The Lives of a Bengal Lancer
1935,OUTSTANDING PRODUCTION,False,A Midsummer Night's Dream
1935,OUTSTANDING PRODUCTION,True,Mutiny on the Bounty
1935,OUTSTANDING PRODUCTION,False,Naughty Marietta
1935,OUTSTANDING PRODUCTION,False,Ruggles of Red Gap
1935,SHORT SUBJECT (Cartoon),False,The Calico Dragon
1935,SHORT SUBJECT (Cartoon),True,Three Orphan Kittens
1935,SHORT SUBJECT (Cartoon),False,Who Killed Cock Robin?
1935,SOUND RECORDING,False,Bride of Frankenstein
1935,SOUND RECORDING,False,Captain Blood
1935,SOUND RECORDING,False,The Dark Angel
1935,SOUND RECORDING,False,I Dream Too Much
1935,SOUND RECORDING,False,The Lives of a Bengal Lancer
1935,SOUND RECORDING,False,Love Me Forever
1935,SOUND RECORDING,True,Naughty Marietta
1935,SOUND RECORDING,False,"$1,000 a Minute"
1935,SOUND RECORDING,False,Thanks a Million
1935,WRITING (Screenplay),False,Captain Blood
1935,WRITING (Screenplay),True,The Informer
1935,WRITING (Screenplay),False,The Lives of a Bengal Lancer
1935,WRITING (Screenplay),False,Mutiny on the Bounty
1936,ART DIRECTION,False,Anthony Adverse
1936,ART DIRECTION,True,Dodsworth
1936,ART DIRECTION,False,The Great Ziegfeld
1936,ART DIRECTION,False,Lloyds of London
1936,ART DIRECTION,False,The Magnificent Brute
1936,ART DIRECTION,False,Romeo and Juliet
1936,ART DIRECTION,False,Winterset
1936,CINEMATOGRAPHY,True,Anthony Adverse
1936,CINEMATOGRAPHY,False,The General Died at Dawn
1936,CINEMATOGRAPHY,False,The Gorgeous Hussy
1936,DIRECTING,False,Dodsworth
1936,DIRECTING,False,The Great Ziegfeld
1936,DIRECTING,True,Mr. Deeds Goes to Town
1936,DIRECTING,False,My Man Godfrey
1936,DIRECTING,False,San Francisco
1936,FILM EDITING,True,Anthony Adverse
1936,FILM EDITING,False,Come and Get It
1936,FILM EDITING,False,The Great Ziegfeld
1936,FILM EDITING,False,Lloyds of London
1936,FILM EDITING,False,A Tale of Two Cities
1936,FILM EDITING,False,Theodora Goes Wild
1936,MUSIC (Scoring),True,Anthony Adverse
1936,MUSIC (Scoring),False,The Charge of the Light Brigade
1936,MUSIC (Scoring),False,The Garden of Allah
1936,MUSIC (Scoring),False,The General Died at Dawn
1936,MUSIC (Scoring),False,Winterset
1936,MUSIC (Song),False,Suzy
1936,MUSIC (Song),False,Born to Dance
1936,MUSIC (Song),False,Trail of the Lonesome Pine
1936,MUSIC (Song),False,Pennies from Heaven
1936,MUSIC (Song),True,Swing Time
1936,MUSIC (Song),False,"Sing, Baby, Sing"
1936,OUTSTANDING PRODUCTION,False,Anthony Adverse
1936,OUTSTANDING PRODUCTION,False,Dodsworth
1936,OUTSTANDING PRODUCTION,True,The Great Ziegfeld
1936,OUTSTANDING PRODUCTION,False,Libeled Lady
1936,OUTSTANDING PRODUCTION,False,Mr. Deeds Goes to Town
1936,OUTSTANDING PRODUCTION,False,Romeo and Juliet
1936,OUTSTANDING PRODUCTION,False,San Francisco
1936,OUTSTANDING PRODUCTION,False,The Story of Louis Pasteur
1936,OUTSTANDING PRODUCTION,False,A Tale of Two Cities
1936,OUTSTANDING PRODUCTION,False,Three Smart Girls
1936,SHORT SUBJECT (Cartoon),True,The Country Cousin
1936,SHORT SUBJECT (Cartoon),False,Old Mill Pond
1936,SHORT SUBJECT (Cartoon),False,Sinbad the Sailor
1936,SOUND RECORDING,False,Banjo on My Knee
1936,SOUND RECORDING,False,The Charge of the Light Brigade
1936,SOUND RECORDING,False,Dodsworth
1936,SOUND RECORDING,False,General Spanky
1936,SOUND RECORDING,False,Mr. Deeds Goes to Town
1936,SOUND RECORDING,True,San Francisco
1936,SOUND RECORDING,False,The Texas Rangers
1936,SOUND RECORDING,False,That Girl from Paris
1936,SOUND RECORDING,False,Three Smart Girls
1936,WRITING (Screenplay),False,After the Thin Man
1936,WRITING (Screenplay),False,Dodsworth
1936,WRITING (Screenplay),False,Mr. Deeds Goes to Town
1936,WRITING (Screenplay),False,My Man Godfrey
1936,WRITING (Screenplay),True,The Story of Louis Pasteur
1937,ART DIRECTION,False,Conquest
1937,ART DIRECTION,False,A Damsel in Distress
1937,ART DIRECTION,False,Dead End
1937,ART DIRECTION,False,Every Day's a Holiday
1937,ART DIRECTION,False,The Life of Emile Zola
1937,ART DIRECTION,True,Lost Horizon
1937,ART DIRECTION,False,Manhattan Merry-Go-Round
1937,ART DIRECTION,False,The Prisoner of Zenda
1937,ART DIRECTION,False,Souls at Sea
1937,ART DIRECTION,False,Walter Wanger's Vogues of 1938
1937,ART DIRECTION,False,Wee Willie Winkie
1937,ART DIRECTION,False,You're a Sweetheart
1937,CINEMATOGRAPHY,False,Dead End
1937,CINEMATOGRAPHY,True,The Good Earth
1937,CINEMATOGRAPHY,False,Wings over Honolulu
1937,DIRECTING,True,The Awful Truth
1937,DIRECTING,False,The Good Earth
1937,DIRECTING,False,The Life of Emile Zola
1937,DIRECTING,False,Stage Door
1937,DIRECTING,False,A Star Is Born
1937,FILM EDITING,False,The Awful Truth
1937,FILM EDITING,False,Captains Courageous
1937,FILM EDITING,False,The Good Earth
1937,FILM EDITING,True,Lost Horizon
1937,FILM EDITING,False,One Hundred Men and a Girl
1937,MUSIC (Scoring),False,The Hurricane
1937,MUSIC (Scoring),False,In Old Chicago
1937,MUSIC (Scoring),False,The Life of Emile Zola
1937,MUSIC (Scoring),False,Lost Horizon
1937,MUSIC (Scoring),False,Make a Wish
1937,MUSIC (Scoring),False,Maytime
1937,MUSIC (Scoring),True,One Hundred Men and a Girl
1937,MUSIC (Scoring),False,Portia on Trial
1937,MUSIC (Scoring),False,The Prisoner of Zenda
1937,MUSIC (Scoring),False,Quality Street
1937,MUSIC (Scoring),False,Snow White and the Seven Dwarfs
1937,MUSIC (Scoring),False,Something to Sing About
1937,MUSIC (Scoring),False,Souls at Sea
1937,MUSIC (Scoring),False,Way Out West
1937,MUSIC (Song),False,Mr. Dodd Takes the Air
1937,MUSIC (Song),True,Waikiki Wedding
1937,MUSIC (Song),False,Walter Wanger's Vogues of 1938
1937,MUSIC (Song),False,Shall We Dance
1937,MUSIC (Song),False,Artists and Models
1937,OUTSTANDING PRODUCTION,False,The Awful Truth
1937,OUTSTANDING PRODUCTION,False,Captains Courageous
1937,OUTSTANDING PRODUCTION,False,Dead End
1937,OUTSTANDING PRODUCTION,False,The Good Earth
1937,OUTSTANDING PRODUCTION,False,In Old Chicago
1937,OUTSTANDING PRODUCTION,True,The Life of Emile Zola
1937,OUTSTANDING PRODUCTION,False,Lost Horizon
1937,OUTSTANDING PRODUCTION,False,One Hundred Men and a Girl
1937,OUTSTANDING PRODUCTION,False,Stage Door
1937,OUTSTANDING PRODUCTION,False,A Star Is Born
1937,SHORT SUBJECT (Cartoon),False,Educated Fish
1937,SHORT SUBJECT (Cartoon),False,The Little Match Girl
1937,SHORT SUBJECT (Cartoon),True,The Old Mill
1937,SOUND RECORDING,False,The Girl Said No
1937,SOUND RECORDING,False,Hitting a New High
1937,SOUND RECORDING,True,The Hurricane
1937,SOUND RECORDING,False,In Old Chicago
1937,SOUND RECORDING,False,The Life of Emile Zola
1937,SOUND RECORDING,False,Lost Horizon
1937,SOUND RECORDING,False,Maytime
1937,SOUND RECORDING,False,One Hundred Men and a Girl
1937,SOUND RECORDING,False,Wells Fargo
1937,WRITING (Screenplay),False,The Awful Truth
1937,WRITING (Screenplay),False,Captains Courageous
1937,WRITING (Screenplay),True,The Life of Emile Zola
1937,WRITING (Screenplay),False,Stage Door
1937,WRITING (Screenplay),False,A Star Is Born
1938,ART DIRECTION,True,The Adventures of Robin Hood
1938,ART DIRECTION,False,The Adventures of Tom Sawyer
1938,ART DIRECTION,False,Alexander's Ragtime Band
1938,ART DIRECTION,False,Algiers
1938,ART DIRECTION,False,Carefree
1938,ART DIRECTION,False,The Goldwyn Follies
1938,ART DIRECTION,False,Holiday
1938,ART DIRECTION,False,If I Were King
1938,ART DIRECTION,False,Mad about Music
1938,ART DIRECTION,False,Marie Antoinette
1938,ART DIRECTION,False,Merrily We Live
1938,CINEMATOGRAPHY,False,Algiers
1938,CINEMATOGRAPHY,False,Army Girl
1938,CINEMATOGRAPHY,False,The Buccaneer
1938,CINEMATOGRAPHY,True,The Great Waltz
1938,CINEMATOGRAPHY,False,Jezebel
1938,CINEMATOGRAPHY,False,Mad about Music
1938,CINEMATOGRAPHY,False,Merrily We Live
1938,CINEMATOGRAPHY,False,Suez
1938,CINEMATOGRAPHY,False,Vivacious Lady
1938,CINEMATOGRAPHY,False,You Can't Take It with You
1938,CINEMATOGRAPHY,False,The Young in Heart
1938,DIRECTING,False,Angels with Dirty Faces
1938,DIRECTING,False,Boys Town
1938,DIRECTING,False,The Citadel
1938,DIRECTING,False,Four Daughters
1938,DIRECTING,True,You Can't Take It with You
1938,FILM EDITING,True,The Adventures of Robin Hood
1938,FILM EDITING,False,Alexander's Ragtime Band
1938,FILM EDITING,False,The Great Waltz
1938,FILM EDITING,False,Test Pilot
1938,FILM EDITING,False,You Can't Take It with You
1938,MUSIC (Original Score),True,The Adventures of Robin Hood
1938,MUSIC (Original Score),False,Army Girl
1938,MUSIC (Original Score),False,Block-Heads
1938,MUSIC (Original Score),False,Blockade
1938,MUSIC (Original Score),False,Breaking the Ice
1938,MUSIC (Original Score),False,The Cowboy and the Lady
1938,MUSIC (Original Score),False,If I Were King
1938,MUSIC (Original Score),False,Marie Antoinette
1938,MUSIC (Original Score),False,Pacific Liner
1938,MUSIC (Original Score),False,Suez
1938,MUSIC (Original Score),False,The Young in Heart
1938,MUSIC (Scoring),True,Alexander's Ragtime Band
1938,MUSIC (Scoring),False,Carefree
1938,MUSIC (Scoring),False,Girls' School
1938,MUSIC (Scoring),False,The Goldwyn Follies
1938,MUSIC (Scoring),False,Jezebel
1938,MUSIC (Scoring),False,Mad about Music
1938,MUSIC (Scoring),False,Storm over Bengal
1938,MUSIC (Scoring),False,Sweethearts
1938,MUSIC (Scoring),False,There Goes My Heart
1938,MUSIC (Scoring),False,Tropic Holiday
1938,MUSIC (Scoring),False,The Young in Heart
1938,MUSIC (Song),False,Mannequin
1938,MUSIC (Song),False,Carefree
1938,MUSIC (Song),False,The Cowboy and the Lady
1938,MUSIC (Song),False,Under Western Stars
1938,MUSIC (Song),False,Going Places
1938,MUSIC (Song),False,Merrily We Live
1938,MUSIC (Song),False,The Lady Objects
1938,MUSIC (Song),False,That Certain Age
1938,MUSIC (Song),False,Alexander's Ragtime Band
1938,MUSIC (Song),True,The Big Broadcast of 1938
1938,OUTSTANDING PRODUCTION,False,The Adventures of Robin Hood
1938,OUTSTANDING PRODUCTION,False,Alexander's Ragtime Band
1938,OUTSTANDING PRODUCTION,False,Boys Town
1938,OUTSTANDING PRODUCTION,False,The Citadel
1938,OUTSTANDING PRODUCTION,False,Four Daughters
1938,OUTSTANDING PRODUCTION,False,Grand Illusion
1938,OUTSTANDING PRODUCTION,False,Jezebel
1938,OUTSTANDING PRODUCTION,False,Pygmalion
1938,OUTSTANDING PRODUCTION,False,Test Pilot
1938,OUTSTANDING PRODUCTION,True,You Can't Take It with You
1938,SHORT SUBJECT (Cartoon),False,Brave Little Tailor
1938,SHORT SUBJECT (Cartoon),True,Ferdinand the Bull
1938,SHORT SUBJECT (Cartoon),False,Good Scouts
1938,SHORT SUBJECT (Cartoon),False,Hunky and Spunky
1938,SHORT SUBJECT (Cartoon),False,Mother Goose Goes Hollywood
1938,SOUND RECORDING,False,Army Girl
1938,SOUND RECORDING,True,The Cowboy and the Lady
1938,SOUND RECORDING,False,Four Daughters
1938,SOUND RECORDING,False,If I Were King
1938,SOUND RECORDING,False,Merrily We Live
1938,SOUND RECORDING,False,Suez
1938,SOUND RECORDING,False,Sweethearts
1938,SOUND RECORDING,False,That Certain Age
1938,SOUND RECORDING,False,Vivacious Lady
1938,SOUND RECORDING,False,You Can't Take It with You
1938,WRITING (Screenplay),False,Boys Town
1938,WRITING (Screenplay),False,The Citadel
1938,WRITING (Screenplay),False,Four Daughters
1938,WRITING (Screenplay),True,Pygmalion
1938,WRITING (Screenplay),False,You Can't Take It with You
1939,ART DIRECTION,False,Beau Geste
1939,ART DIRECTION,False,Captain Fury
1939,ART DIRECTION,False,First Love
1939,ART DIRECTION,True,Gone with the Wind
1939,ART DIRECTION,False,Love Affair
1939,ART DIRECTION,False,Man of Conquest
1939,ART DIRECTION,False,Mr. Smith Goes to Washington
1939,ART DIRECTION,False,The Private Lives of Elizabeth and Essex
1939,ART DIRECTION,False,The Rains Came
1939,ART DIRECTION,False,Stagecoach
1939,ART DIRECTION,False,The Wizard of Oz
1939,ART DIRECTION,False,Wuthering Heights
1939,CINEMATOGRAPHY (Black-and-White),False,First Love
1939,CINEMATOGRAPHY (Black-and-White),False,The Great Victor Herbert
1939,CINEMATOGRAPHY (Black-and-White),False,Gunga Din
1939,CINEMATOGRAPHY (Black-and-White),False,Intermezzo
1939,CINEMATOGRAPHY (Black-and-White),False,Juarez
1939,CINEMATOGRAPHY (Black-and-White),False,Lady of the Tropics
1939,CINEMATOGRAPHY (Black-and-White),False,Of Mice and Men
1939,CINEMATOGRAPHY (Black-and-White),False,Only Angels Have Wings
1939,CINEMATOGRAPHY (Black-and-White),False,The Rains Came
1939,CINEMATOGRAPHY (Black-and-White),False,Stagecoach
1939,CINEMATOGRAPHY (Black-and-White),True,Wuthering Heights
1939,CINEMATOGRAPHY (Color),False,Drums along the Mohawk
1939,CINEMATOGRAPHY (Color),False,Four Feathers
1939,CINEMATOGRAPHY (Color),True,Gone with the Wind
1939,CINEMATOGRAPHY (Color),False,The Mikado
1939,CINEMATOGRAPHY (Color),False,The Private Lives of Elizabeth and Essex
1939,CINEMATOGRAPHY (Color),False,The Wizard of Oz
1939,DIRECTING,True,Gone with the Wind
1939,DIRECTING,False,"Goodbye, Mr. Chips"
1939,DIRECTING,False,Mr. Smith Goes to Washington
1939,DIRECTING,False,Stagecoach
1939,DIRECTING,False,Wuthering Heights
1939,FILM EDITING,True,Gone with the Wind
1939,FILM EDITING,False,"Goodbye, Mr. Chips"
1939,FILM EDITING,False,Mr. Smith Goes to Washington
1939,FILM EDITING,False,The Rains Came
1939,FILM EDITING,False,Stagecoach
1939,MUSIC (Original Score),False,Dark Victory
1939,MUSIC (Original Score),False,Eternally Yours
1939,MUSIC (Original Score),False,Golden Boy
1939,MUSIC (Original Score),False,Gone with the Wind
1939,MUSIC (Original Score),False,Gulliver's Travels
1939,MUSIC (Original Score),False,The Man in the Iron Mask
1939,MUSIC (Original Score),False,Man of Conquest
1939,MUSIC (Original Score),False,Nurse Edith Cavell
1939,MUSIC (Original Score),False,Of Mice and Men
1939,MUSIC (Original Score),False,The Rains Came
1939,MUSIC (Original Score),True,The Wizard of Oz
1939,MUSIC (Original Score),False,Wuthering Heights
1939,MUSIC (Scoring),False,Babes in Arms
1939,MUSIC (Scoring),False,First Love
1939,MUSIC (Scoring),False,The Great Victor Herbert
1939,MUSIC (Scoring),False,The Hunchback of Notre Dame
1939,MUSIC (Scoring),False,Intermezzo
1939,MUSIC (Scoring),False,Mr. Smith Goes to Washington
1939,MUSIC (Scoring),False,Of Mice and Men
1939,MUSIC (Scoring),False,The Private Lives of Elizabeth and Essex
1939,MUSIC (Scoring),False,She Married a Cop
1939,MUSIC (Scoring),True,Stagecoach
1939,MUSIC (Scoring),False,Swanee River
1939,MUSIC (Scoring),False,They Shall Have Music
1939,MUSIC (Scoring),False,Way Down South
1939,MUSIC (Song),False,Gulliver's Travels
1939,MUSIC (Song),False,Second Fiddle
1939,MUSIC (Song),True,The Wizard of Oz
1939,MUSIC (Song),False,Love Affair
1939,OUTSTANDING PRODUCTION,False,Dark Victory
1939,OUTSTANDING PRODUCTION,True,Gone with the Wind
1939,OUTSTANDING PRODUCTION,False,"Goodbye, Mr. Chips"
1939,OUTSTANDING PRODUCTION,False,Love Affair
1939,OUTSTANDING PRODUCTION,False,Mr. Smith Goes to Washington
1939,OUTSTANDING PRODUCTION,False,Ninotchka
1939,OUTSTANDING PRODUCTION,False,Of Mice and Men
1939,OUTSTANDING PRODUCTION,False,Stagecoach
1939,OUTSTANDING PRODUCTION,False,The Wizard of Oz
1939,OUTSTANDING PRODUCTION,False,Wuthering Heights
1939,SHORT SUBJECT (Cartoon),False,Detouring America
1939,SHORT SUBJECT (Cartoon),False,Peace on Earth
1939,SHORT SUBJECT (Cartoon),False,The Pointer
1939,SHORT SUBJECT (Cartoon),True,The Ugly Duckling
1939,SOUND RECORDING,False,Balalaika
1939,SOUND RECORDING,False,Gone with the Wind
1939,SOUND RECORDING,False,"Goodbye, Mr. Chips"
1939,SOUND RECORDING,False,The Great Victor Herbert
1939,SOUND RECORDING,False,The Hunchback of Notre Dame
1939,SOUND RECORDING,False,Man of Conquest
1939,SOUND RECORDING,False,Mr. Smith Goes to Washington
1939,SOUND RECORDING,False,Of Mice and Men
1939,SOUND RECORDING,False,The Private Lives of Elizabeth and Essex
1939,SOUND RECORDING,False,The Rains Came
1939,SOUND RECORDING,True,When Tomorrow Comes
1939,WRITING (Screenplay),True,Gone with the Wind
1939,WRITING (Screenplay),False,"Goodbye, Mr. Chips"
1939,WRITING (Screenplay),False,Mr. Smith Goes to Washington
1939,WRITING (Screenplay),False,Ninotchka
1939,WRITING (Screenplay),False,Wuthering Heights
1940,ART DIRECTION (Black-and-White),False,"Arise, My Love"
1940,ART DIRECTION (Black-and-White),False,Arizona
1940,ART DIRECTION (Black-and-White),False,The Boys from Syracuse
1940,ART DIRECTION (Black-and-White),False,The Dark Command
1940,ART DIRECTION (Black-and-White),False,Foreign Correspondent
1940,ART DIRECTION (Black-and-White),False,Lillian Russell
1940,ART DIRECTION (Black-and-White),False,My Favorite Wife
1940,ART DIRECTION (Black-and-White),False,"My Son, My Son!"
1940,ART DIRECTION (Black-and-White),False,Our Town
1940,ART DIRECTION (Black-and-White),True,Pride and Prejudice
1940,ART DIRECTION (Black-and-White),False,Rebecca
1940,ART DIRECTION (Black-and-White),False,The Sea Hawk
1940,ART DIRECTION (Black-and-White),False,The Westerner
1940,ART DIRECTION (Color),False,Bitter Sweet
1940,ART DIRECTION (Color),False,Down Argentine Way
1940,ART DIRECTION (Color),False,North West Mounted Police
